"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SH3BGRL",4.74470402294355e-06,0.357732669072558,0.824,0.623,0.0689310600453239,"1","SH3BGRL"
"AHCYL1",5.47196601085859e-06,0.331369618080808,0.387,0.204,0.0794967222057536,"1","AHCYL1"
"MAPRE2",6.33924313736872e-06,0.301825342466792,0.328,0.158,0.0920965242996928,"1","MAPRE2"
"RPL4",6.96705765282335e-06,0.318392045556635,0.992,0.972,0.101217413580218,"1","RPL4"
"SRRM2",7.62790352058051e-06,0.27649631265582,0.84,0.601,0.110818182346994,"1","SRRM2"
"LINC00667",9.35728689707528e-06,0.25692126954501,0.269,0.119,0.13594266404071,"1","LINC00667"
"MIDN",1.25744726327845e-05,0.376787052426909,0.874,0.689,0.182681938409093,"1","MIDN"
"ATP5B",1.2983496152231e-05,0.439271617549396,0.815,0.687,0.188624232099612,"1","ATP5B"
"ZBTB16",1.30644525504483e-05,0.363507376833617,0.706,0.522,0.189800366652912,"1","ZBTB16"
"CYSTM1",1.31501135556896e-05,0.427101083504644,0.555,0.4,0.191044849737058,"1","CYSTM1"
"MDK",1.36447229924786e-05,0.323122711739879,0.429,0.249,0.198230535634729,"1","MDK"
"AKAP13",1.38923975488166e-05,0.312748578737837,0.639,0.432,0.201828751589208,"1","AKAP13"
"NDUFB7",1.42768557755269e-05,0.262976437173178,0.849,0.591,0.207414160706855,"1","NDUFB7"
"THY1",1.45643018564502e-05,0.495647410106033,0.613,0.412,0.211590177370509,"1","THY1"
"COX8A",1.48738631528579e-05,0.29876897448524,0.874,0.702,0.21608748388472,"1","COX8A"
"TNFSF12",1.50066778011006e-05,0.305120166065844,0.345,0.176,0.218017015094389,"1","TNFSF12"
"MGST3",2.88359363472929e-05,0.341253889936853,0.95,0.839,0.418928483253472,"1","MGST3"
"ITGB1",2.98911729693701e-05,0.300694260448143,0.95,0.878,0.434258960899009,"1","ITGB1"
