"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HSPA1A",7.72142099767929e-14,0.376563673989777,0.926,0.791,1.46058399592101e-09,"0","HSPA1A"
"FABP5",9.3612239833445e-07,0.262012340883903,0.348,0.264,0.0177076912868945,"0","FABP5"
"ZFAND2A",0.00113691292889952,0.482616734304954,0.357,0.293,1,"0","ZFAND2A"
"APOA2",0,5.27495261761622,0.967,0.467,0,"1","APOA2"
"ALB",0,5.04520457410159,0.984,0.386,0,"1","ALB"
"APOC1",0,4.32511538143083,0.973,0.321,0,"1","APOC1"
"RBP4",0,4.29903378329591,0.891,0.185,0,"1","RBP4"
"APOE",0,4.23429898022139,0.974,0.274,0,"1","APOE"
"SERPINA1",0,4.18380175182608,0.979,0.226,0,"1","SERPINA1"
"ORM1",0,4.144667746193,0.831,0.06,0,"1","ORM1"
"AMBP",0,4.00274638730772,0.972,0.197,0,"1","AMBP"
"AHSG",0,3.52072702850268,0.714,0.083,0,"1","AHSG"
"TTR",0,3.47594916489963,0.774,0.141,0,"1","TTR"
"TF",0,3.34271035948489,0.922,0.06,0,"1","TF"
"VTN",0,3.21820938102077,0.862,0.07,0,"1","VTN"
"CLU",0,2.90226040030276,0.943,0.139,0,"1","CLU"
"RARRES2",0,2.8644157381781,0.962,0.17,0,"1","RARRES2"
"NUPR1",0,2.84883539179385,0.933,0.238,0,"1","NUPR1"
"APOH",0,2.84042495997421,0.74,0.063,0,"1","APOH"
"FGG",0,2.8015638791261,0.729,0.048,0,"1","FGG"
"MGST1",0,2.7099495314653,0.879,0.053,0,"1","MGST1"
"GC",0,2.65488787817613,0.882,0.045,0,"1","GC"
"PRAP1",0,2.58166180665151,0.838,0.059,0,"1","PRAP1"
"FGA",0,2.52890717283428,0.713,0.052,0,"1","FGA"
"C3",0,2.51397933793129,0.858,0.083,0,"1","C3"
"KNG1",0,2.51331922102614,0.611,0.046,0,"1","KNG1"
"FGB",0,2.41440962113623,0.749,0.053,0,"1","FGB"
"CES1",0,2.40877085182013,0.604,0.047,0,"1","CES1"
"ORM2",0,2.34695006613706,0.665,0.028,0,"1","ORM2"
"KRT18",0,2.28788552730642,0.881,0.117,0,"1","KRT18"
"TMEM176B",0,2.22862764512442,0.827,0.112,0,"1","TMEM176B"
"FGL1",0,2.20112300159687,0.798,0.04,0,"1","FGL1"
"F2",0,2.15262829490599,0.732,0.049,0,"1","F2"
"AGT",0,2.07961048228208,0.842,0.164,0,"1","AGT"
"TM4SF4",0,2.03842726928184,0.763,0.039,0,"1","TM4SF4"
"DEFB1",0,2.02304024139807,0.641,0.026,0,"1","DEFB1"
"APOC2",0,2.01432754533785,0.612,0.015,0,"1","APOC2"
"ASGR1",0,2.00777961206187,0.761,0.06,0,"1","ASGR1"
"TMEM176A",0,2.00551587944579,0.781,0.092,0,"1","TMEM176A"
"APCS",0,1.97535478370316,0.53,0.021,0,"1","APCS"
